wijk,2014,2015,2016,2017,2018,code,stadsdeel
Betondorp,184462.0,185883.0,190501.0,230751.0,266711.0,M57,Oost
De Omval/Overamstel,155634.0,173995.0,153618.0,186082.0,218509.0,M58,Oost
Volewijck,150516.0,157332.0,159440.0,184154.0,212209.0,N60,Noord
IJplein/Vogelbuurt,158072.0,156395.0,170429.0,197581.0,235667.0,N61,Noord
Tuindorp Nieuwendam,173666.0,175622.0,184874.0,204509.0,231180.0,N62,Noord
Tuindorp Buiksloot,162989.0,169285.0,174508.0,194104.0,231942.0,N63,Noord
Nieuwendammerdijk/Buiksloterdijk,384397.0,387460.0,395063.0,439019.0,533710.0,N64,Noord
Tuindorp Oostzaan,170345.0,172054.0,179297.0,202216.0,241357.0,N65,Noord
Oostzanerwerf,190844.0,192289.0,195648.0,213785.0,251646.0,N66,Noord
Kadoelen,264759.0,267617.0,275296.0,299298.0,306344.0,N67,Noord
Waterlandpleinbuurt,160708.0,163369.0,173333.0,191231.0,226409.0,N68,Noord
Buikslotermeer,170804.0,150413.0,154881.0,177380.0,215792.0,N69,Noord
Banne Buiksloot,166502.0,168651.0,177431.0,191675.0,235716.0,N70,Noord
Noordelijke IJ-oevers-West,222297.0,246760.0,251052.0,243183.0,295055.0,N71,Noord
Noordelijke IJ-oevers-Oost,217582.0,211602.0,223900.0,168528.0,196081.0,N72,Noord
Waterland,428832.0,437326.0,442483.0,480514.0,565361.0,N73,Noord
Elzenhagen,,280083.0,287122.0,322014.0,387474.0,N74,Noord
Amstel III/Bullewijk,,,,78137.0,81201.0,T92,Zuidoost
"Bijlmer-Centrum (D,F,H)",126373.0,123214.0,121273.0,135944.0,152427.0,T93,Zuidoost
"Bijlmer-Oost (E,G,K)",148048.0,143943.0,148343.0,156291.0,182291.0,T94,Zuidoost
Nellestein,139614.0,137902.0,134903.0,140373.0,170441.0,T95,Zuidoost
Holendrecht/Reigersbos,146686.0,143554.0,147751.0,153254.0,181189.0,T96,Zuidoost
Gein,163287.0,161513.0,165247.0,176573.0,199542.0,T97,Zuidoost
Driemond,227969.0,224884.0,234149.0,251670.0,267328.0,T98,Zuidoost
